SECTION,NAME,REG,ADD,CAN,R-ONLY,TYPE,GEN,AX1,AX2,DEF,MIN,MAX,UNIT,PER,SECURE,DEV,SECTION_INDEX
Functions And Sensors,ENABLE HOMING,COIL,x00,,,BOOL,X,X,X,1,,,,,,,1
Functions And Sensors,ENABLE DETENTS,COIL,x01,,,BOOL,X,X,X,1,,,,,,,1
Functions And Sensors,ENABLE VIBRATION,COIL,x02,,,BOOL,X,X,X,1,,,,,,,1
Functions And Sensors,ENABLE BOUNDARIES,COIL,x03,,,BOOL,X,X,X,1,,,,,,,1
Functions And Sensors,ENABLE SETPOINT,COIL,x04,,,BOOL,X,X,X,0,,,,,,,1
Functions And Sensors,STRENGTH DETENTS,HREG,x00,,,UINT,X,X,X,3,1.0,3.0,,X,,,1
Functions And Sensors,STRENGTH VIBRATION,HREG,x01,,,UINT,X,X,X,3,1.0,3.0,,X,,,1
Functions And Sensors,STRENGTH BOUNDARIES,HREG,x02,,,UINT,X,X,X,3,1.0,3.0,,X,,,1
Functions And Sensors,SPEED,HREG,x03,,,UINT,X,X,X,3,1.0,3.0,,X,,,1
Functions And Sensors,POSITION SETPOINT,HREG,x04,,,INT,X,X,X,0,-180.0,180.0,% o r °,,,,1
Functions And Sensors,DEPRICATED MODBUS BAUD 1,HREG,x05,,,UINT,X,,,38400,0.0,65536.0,baud,X,,,1
Functions And Sensors,DEPRICATED MODBUS SLAVE 1,HREG,x06,,,UINT,X,,,1,0.0,247.0,,X,,,1
Functions And Sensors,STRENGTH FRICTION,HREG,x07,,,UINT,X,X,X,3,1.0,3.0,,X,,,1
Functions And Sensors,POSITION,IREG,x00,,X,FLOAT,,X,X,0,-180.0,180.0,% or °,,,,1
Functions And Sensors,ANGLE,IREG,x02,,X,FLOAT,,X,X,0,-180.0,180.0,°,,,,1
Functions And Sensors,SENS IN,IREG,x04,,X,FLOAT,,X,X,0,0.0,1.0,,,,,1
Functions And Sensors,SENS OUT,IREG,x06,,X,FLOAT,,X,X,0,0.0,1.0,,,,,1
Led Settings,SHOW ANGLE,COIL,x10,,,BOOL,X,X,X,1,,,,,,,1
Led Settings,SHOW DETENTS,COIL,x11,,,BOOL,X,X,X,0,,,,,,,1
Led Settings,SHOW BOUNDARIES,COIL,x12,,,BOOL,X,X,X,0,,,,,,,1
Led Settings,SHOW SETPOINT,COIL,x13,,,BOOL,X,X,X,0,,,,,,,1
